Unicast lids [0x0-0xaa] of switch guid 0xf4521403005cc310
0x0042 022 : (Channel Adapter portguid guid: r07n11)
0x0043 023 : (Channel Adapter portguid guid: r08n15)
0x0044 024 : (Channel Adapter portguid guid: r07n14)
0x0045 023 : (Channel Adapter portguid guid: r08n03)
0x0046 022 : (Channel Adapter portguid guid: r05n05)
0x0047 023 : (Channel Adapter portguid guid: r05n06)
0x0048 021 : (Channel Adapter portguid guid: r06n15)
0x0049 022 : (Channel Adapter portguid guid: r07n15)
0x004a 021 : (Channel Adapter portguid guid: r07n17)
0x004b 022 : (Channel Adapter portguid guid: r06n03)
0x004c 024 : (Channel Adapter portguid guid: r05n08)
0x004d 024 : (Channel Adapter portguid guid: r06n12)
0x004e 022 : (Channel Adapter portguid guid: r06n17)
0x004f 024 : (Channel Adapter portguid guid: r08n13)
0x0050 023 : (Channel Adapter portguid guid: r08n11)
0x0051 024 : (Channel Adapter portguid guid: r09n03)
0x0052 024 : (Channel Adapter portguid guid: r09n07)
0x0053 022 : (Channel Adapter portguid guid: r08n14)
0x0054 024 : (Channel Adapter portguid guid: r09n11)
0x0055 022 : (Channel Adapter portguid guid: r08n06)
0x0056 021 : (Channel Adapter portguid guid: r08n12)
0x0057 022 : (Channel Adapter portguid guid: r08n02)
0x0058 021 : (Channel Adapter portguid guid: r06n11)
0x0059 022 : (Channel Adapter portguid guid: r05n17)
0x005a 024 : (Channel Adapter portguid guid: r08n01)
0x005b 005 : (Channel Adapter portguid guid: r04n05)
0x005c 021 : (Channel Adapter portguid guid: r07n09)
0x005d 024 : (Channel Adapter portguid guid: r06n02)
0x005e 022 : (Channel Adapter portguid guid: r01n12)
0x005f 023 : (Channel Adapter portguid guid: r03n07)
0x0060 023 : (Channel Adapter portguid guid: MF0;switch-e1b2ec:SX6036/U1)
0x0061 022 : (Channel Adapter portguid guid: r01n04)
0x0062 024 : (Channel Adapter portguid guid: r01n07)
0x0063 022 : (Channel Adapter portguid guid: r03n14)
0x0064 024 : (Channel Adapter portguid guid: r03n13)
0x0065 021 : (Channel Adapter portguid guid: r01n18)
0x0066 013 : (Channel Adapter portguid guid: r04n13)
0x0067 022 : (Channel Adapter portguid guid: r09n12)
0x0068 023 : (Channel Adapter portguid guid: r01n09)
